country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB","14-04-2026 18:00:00",27.23711,78.01936,NO2,19,25,20
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB","14-04-2026 18:00:00",26.730136,83.433859,NO2,11,12,11
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB","14-04-2026 18:00:00",26.730136,83.433859,CO,2,4,3
India,Uttar_Pradesh,"Greater Noida","Knowledge Park - V, Greater Noida - UPPCB","14-04-2026 18:00:00",28.557054,77.453663,CO,22,72,29
India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB","14-04-2026 18:00:00",28.725645,77.749675,PM2.5,29,309,161
India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB","14-04-2026 18:00:00",28.725645,77.749675,SO2,26,101,53
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB","14-04-2026 18:00:00",25.4547,78.6039,PM2.5,11,68,30
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB","14-04-2026 18:00:00",28.38910936,79.42963708,NH3,1,1,1
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB","14-04-2026 18:00:00",28.38910936,79.42963708,CO,24,48,28
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","14-04-2026 18:00:00",28.406963,77.849831,OZONE,2,79,75
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB","14-04-2026 18:00:00",27.168897,78.376960,PM2.5,25,111,57
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB","14-04-2026 18:00:00",27.168897,78.376960,PM10,36,158,82
India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB","14-04-2026 18:00:00",27.1594,78.3953,PM10,69,159,112
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB","14-04-2026 18:00:00",26.428282,80.327067,CO,33,44,34
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB","14-04-2026 18:00:00",26.509954,80.249612,PM2.5,21,130,59
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB","14-04-2026 18:00:00",26.509954,80.249612,CO,16,44,26
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB","14-04-2026 18:00:00",26.4703136,80.3229863,SO2,NA,NA,NA
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB","14-04-2026 18:00:00",26.4703136,80.3229863,OZONE,5,27,26
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB","14-04-2026 18:00:00",28.2348927,77.8683002,NH3,1,1,1
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB","14-04-2026 18:00:00",27.106972,78.000111,CO,8,27,12
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB","14-04-2026 18:00:00",27.19865833,78.00598056,PM2.5,28,290,117
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB","14-04-2026 18:00:00",27.19865833,78.00598056,SO2,17,18,18
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB","14-04-2026 18:00:00",27.19865833,78.00598056,CO,28,39,30
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","14-04-2026 18:00:00",27.19412,77.96237,PM2.5,69,271,137
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB","14-04-2026 18:00:00",27.19862,77.92066,SO2,5,7,6
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","14-04-2026 18:00:00",28.685382,77.453839,PM2.5,22,295,132
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","14-04-2026 18:00:00",28.685382,77.453839,CO,16,110,29
India,Uttar_Pradesh,Ghaziabad,"Ved Vihar-Loni, Ghaziabad - UPPCB","14-04-2026 18:00:00","28.739153 ","77.273668 ",NH3,16,23,20
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB","14-04-2026 18:00:00",28.757294,77.278792,SO2,4,51,20
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB","14-04-2026 18:00:00",28.2348927,77.8683002,OZONE,11,20,16
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB","14-04-2026 18:00:00",26.766433,80.927299,PM2.5,12,321,78
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB","14-04-2026 18:00:00",26.766433,80.927299,PM10,68,169,119
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB","14-04-2026 18:00:00",26.766433,80.927299,SO2,20,20,20
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB","14-04-2026 18:00:00",26.868120,81.005119,PM10,41,117,81
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB","14-04-2026 18:00:00",26.868120,81.005119,CO,36,44,44
India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB","14-04-2026 18:00:00",26.906111,80.948222,PM10,111,172,145
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB","14-04-2026 18:00:00",26.90723,80.98579,PM2.5,27,93,67
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB","14-04-2026 18:00:00",26.90723,80.98579,PM10,68,137,113
India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD","14-04-2026 18:00:00",28.6245479,77.3577104,PM10,72,252,145
India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD","14-04-2026 18:00:00",28.6245479,77.3577104,CO,20,60,30
India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD","14-04-2026 18:00:00",28.6245479,77.3577104,OZONE,32,172,130
India,Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB","14-04-2026 18:00:00",28.5898,77.3101,PM10,126,246,170
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB","14-04-2026 18:00:00",28.569230,77.393848,SO2,14,30,20
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB","14-04-2026 18:00:00",25.494,81.863,PM10,47,125,81
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB","14-04-2026 18:00:00",25.494,81.863,NH3,6,9,8
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB","14-04-2026 18:00:00","25.44919916 ","81.82735986 ",PM10,39,94,66
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB","14-04-2026 18:00:00","25.44919916 ","81.82735986 ",NO2,5,5,5
